Robot,IP,Status,Version,OS Major,OS Minor,OS Description,Port,Domain
gvecsl0368its,10.194.85.64,OK,"9.37 [Build 9.37.528, Feb  1 2023]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl0570ops,10.70.70.111,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-754.9.1.el6.x86_64 #1 SMP Wed Nov 21 15:08:21 EST 2018 x86_64,48000,Givaudan
gvecsl0910aps,10.70.173.119,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl0911aps,10.195.33.7,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl0912ips,10.195.32.78,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-425.19.2.el8_7.x86_64 #1 SMP Fri Mar 17 01:52:38 EDT 2023 x86_64,48000,Givaudan
gvecsl0913ips,10.195.32.79,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-425.19.2.el8_7.x86_64 #1 SMP Fri Mar 17 01:52:38 EDT 2023 x86_64,48000,Givaudan
gvecsl0915ips,10.195.32.82,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-425.19.2.el8_7.x86_64 #1 SMP Fri Mar 17 01:52:38 EDT 2023 x86_64,48000,Givaudan
gvecsl2910ats,10.70.173.94,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl4910ads,10.70.172.142,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl4911ads,10.194.224.38,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5005sps,10.194.32.26,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5029sps,10.194.32.88,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5048sbs,10.194.48.48,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5074sds,10.194.48.37,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5089sds,10.194.48.32,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5098sss,10.194.48.5,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5101spq,10.194.65.31,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5102sps,10.194.32.45,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.147-default #1 SMP Tue Jan 17 11:42:48 UTC 2023 (f3fd84a) x86_64,48000,Givaudan
gvecsl5103sps,10.194.32.40,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.147-default #1 SMP Tue Jan 17 11:42:48 UTC 2023 (f3fd84a) x86_64,48000,Givaudan
gvecsl5141sbm,10.194.65.55,OK,"9.20HF15 [Build 9.20HF15.1319, May 27 2020]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5142sbs,10.194.48.2,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.159-default #1 SMP Fri May 5 08:15:43 UTC 2023 (46caa9e) x86_64,48000,Givaudan
gvecsl5143sbs,10.194.48.1,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.165-default #1 SMP Tue Jul 4 13:14:56 UTC 2023 (31a6ebd) x86_64,48000,Givaudan
gvecsl5162sqs,10.194.48.29,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.12.14-122.159-default #1 SMP Fri May 5 08:15:43 UTC 2023 (46caa9e) x86_64,48000,Givaudan
gvecsl5173sds,10.194.48.14,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.165-default #1 SMP Tue Jul 4 13:14:56 UTC 2023 (31a6ebd) x86_64,48000,Givaudan
gvecsl5203sps,10.194.32.5,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5232sbs,10.194.48.7,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5272sds,10.194.48.6,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5401spq,10.194.65.45,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5402sps,10.194.32.23,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.12.14-122.165-default #1 SMP Tue Jul 4 13:14:56 UTC 2023 (31a6ebd) x86_64,48000,Givaudan
gvecsl5403sps,10.194.32.24,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.12.14-122.165-default #1 SMP Tue Jul 4 13:14:56 UTC 2023 (31a6ebd) x86_64,48000,Givaudan
gvecsl5431sbq,10.194.65.42,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5432sbs,10.194.48.62,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.162-default #1 SMP Tue Jun 6 12:25:40 UTC 2023 (02a1ae5) x86_64,48000,Givaudan
gvecsl5433sbs,10.194.48.60,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.12.14-122.162-default #1 SMP Tue Jun 6 12:25:40 UTC 2023 (02a1ae5) x86_64,48000,Givaudan
gvecsl5472sds,10.194.48.65,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.162-default #1 SMP Tue Jun 6 12:25:40 UTC 2023 (02a1ae5) x86_64,48000,Givaudan
gvecsl5592sss,10.195.80.90,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5603sps,10.194.32.29,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-305.91.1.el8_4.x86_64 #1 SMP Thu May 18 15:06:49 EDT 2023 x86_64,48000,Givaudan
gvecsl5632sbs,10.194.82.18,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-305.91.1.el8_4.x86_64 #1 SMP Thu May 18 15:06:49 EDT 2023 x86_64,48000,Givaudan
gvecsl5673sds,10.194.225.2,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-305.91.1.el8_4.x86_64 #1 SMP Thu May 18 15:06:49 EDT 2023 x86_64,48000,Givaudan
gvecsl5692sss,10.195.80.1,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-305.91.1.el8_4.x86_64 #1 SMP Thu May 18 15:06:49 EDT 2023 x86_64,48000,Givaudan
gvecsl5901spq,10.194.32.58,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5903sps,10.194.32.36,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.12.14-122.165-default #1 SMP Tue Jul 4 13:14:56 UTC 2023 (31a6ebd) x86_64,48000,Givaudan
gvecsl5932sbs,10.194.32.38,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.12.14-122.165-default #1 SMP Tue Jul 4 13:14:56 UTC 2023 (31a6ebd) x86_64,48000,Givaudan
gvecsl5936ses,10.195.65.12,OK,"9.37 [Build 9.37.528, Feb  1 2023]",UNIX,Linux,Linux 5.14.0-70.64.1.el9_0.x86_64 #1 SMP PREEMPT Thu Jun 29 11:37:21 EDT 2023 x86_64,48000,Givaudan
gvecsl5972sds,10.194.48.67,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.12.14-122.162-default #1 SMP Tue Jun 6 12:25:40 UTC 2023 (02a1ae5) x86_64,48000,Givaudan
gvecsl5999sss,10.70.172.204,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl5b03sps,10.194.32.33,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5b33sbs,10.194.82.33,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5b52sqs,10.195.65.52,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5b72sds,10.194.225.72,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5b92sss,10.195.80.8,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5f73sds,10.194.225.13,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5g03sps,10.194.32.9,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5g32sbs,10.194.48.10,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5g73sds,10.194.48.35,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5g92sss,10.194.48.34,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl5s92sss,10.195.80.92,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 4.18.0-372.57.1.el8_6.x86_64 #1 SMP Thu May 11 07:38:47 EDT 2023 x86_64,48000,Givaudan
gvecsl6620ipm,10.70.173.20,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6621ipm,10.70.173.21,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6622ipm,10.70.173.22,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6623ipm,10.70.173.23,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6624ipm,10.70.173.24,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6625ipm,10.70.173.25,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6626ipm,10.70.173.26,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6627ipm,10.70.173.27,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6643its,10.70.173.43,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6644its,10.70.173.44,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6645its,10.70.173.45,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6646its,10.70.173.46,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6647its,10.70.173.47,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6648its,10.70.173.48,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6649its,10.70.173.49,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6650its,10.70.173.50,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6651its,10.70.173.51,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6652ipm,10.70.173.52,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6653ipm,10.70.173.53,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6654ipm,10.70.173.54,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6655ipm,10.70.173.55,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
